archetype,scenario,seed,year,techs,researchActive,scholars,allTechDone
merchant,baseline,42,97,9,,0,0
merchant,baseline,42,98,9,,0,0
merchant,baseline,42,99,9,,0,0
merchant,baseline,42,100,9,,0,0
nomad,baseline,7,1,2,horsemanship,0,0
nomad,baseline,7,2,2,horsemanship,0,0
nomad,baseline,7,3,2,horsemanship,0,0
nomad,baseline,7,4,2,horsemanship,0,0
nomad,baseline,7,5,2,horsemanship,0,0
nomad,baseline,7,6,3,,0,0
nomad,baseline,7,7,3,composite,0,0
nomad,baseline,7,8,3,composite,0,0
nomad,baseline,7,9,3,composite,0,0
nomad,baseline,7,10,3,composite,0,0
nomad,baseline,7,11,3,composite,0,0
nomad,baseline,7,12,3,composite,0,0
nomad,baseline,7,13,3,composite,0,0
nomad,baseline,7,14,3,composite,0,0
nomad,baseline,7,15,3,composite,0,0
nomad,baseline,7,16,3,composite,0,0
nomad,baseline,7,17,3,composite,0,0
nomad,baseline,7,18,3,composite,0,0
nomad,baseline,7,19,4,,0,0
nomad,baseline,7,20,4,,0,0
nomad,baseline,7,21,4,,0,0
nomad,baseline,7,22,4,,0,0
nomad,baseline,7,23,4,,0,0
nomad,baseline,7,24,4,,0,0
nomad,baseline,7,25,4,,0,0
nomad,baseline,19,1,2,horsemanship,0,0
nomad,baseline,19,2,2,horsemanship,0,0
nomad,baseline,19,3,3,,0,0
nomad,baseline,19,4,3,composite,0,0
nomad,baseline,19,5,3,composite,0,0
nomad,baseline,19,6,3,composite,0,0
nomad,baseline,19,7,3,composite,0,0
nomad,baseline,19,8,3,composite,0,0
nomad,baseline,19,9,3,composite,0,0
nomad,baseline,19,10,4,,0,0
nomad,baseline,19,11,4,,0,0
nomad,baseline,19,12,4,,0,0
nomad,baseline,19,13,4,,0,0
nomad,baseline,19,14,4,,0,0
nomad,baseline,19,15,4,,0,0
nomad,baseline,19,16,4,,0,0
nomad,baseline,19,17,4,,0,0
nomad,baseline,19,18,4,,0,0
nomad,baseline,19,19,4,,0,0
nomad,baseline,19,20,4,,0,0
nomad,baseline,19,21,4,,0,0
nomad,baseline,42,1,2,horsemanship,0,0
nomad,baseline,42,2,2,horsemanship,0,0
nomad,baseline,42,3,2,horsemanship,0,0
nomad,baseline,42,4,2,horsemanship,0,0
nomad,baseline,42,5,2,horsemanship,0,0
nomad,baseline,42,6,3,,0,0
nomad,baseline,42,7,3,composite,0,0
nomad,baseline,42,8,3,composite,0,0
nomad,baseline,42,9,3,composite,0,0
nomad,baseline,42,10,3,composite,0,0
nomad,baseline,42,11,3,composite,0,0
nomad,baseline,42,12,3,composite,0,0
nomad,baseline,42,13,3,composite,0,0
nomad,baseline,42,14,3,composite,0,0
nomad,baseline,42,15,3,composite,0,0
nomad,baseline,42,16,3,composite,0,0
nomad,baseline,42,17,4,,0,0
nomad,baseline,42,18,4,,0,0
nomad,baseline,42,19,4,,0,0
nomad,baseline,42,20,4,,0,0
nomad,baseline,42,21,4,,0,0
