archetype,seed,year,spyPosts,freeSpies,spyTech
exploit-hunter,42,46,0,0,0
exploit-hunter,42,47,0,0,0
exploit-hunter,42,48,0,0,0
exploit-hunter,42,49,0,0,0
exploit-hunter,42,50,0,0,0
exploit-hunter,42,51,0,0,0
exploit-hunter,42,52,0,0,0
exploit-hunter,42,53,0,0,0
exploit-hunter,42,54,0,0,0
exploit-hunter,42,55,0,0,0
exploit-hunter,42,56,0,0,0
exploit-hunter,42,57,0,0,0
exploit-hunter,42,58,0,0,0
exploit-hunter,42,59,0,0,0
exploit-hunter,42,60,0,0,0
exploit-hunter,42,61,0,0,0
exploit-hunter,42,62,0,0,0
exploit-hunter,42,63,0,0,0
exploit-hunter,42,64,0,0,0
exploit-hunter,42,65,0,0,0
exploit-hunter,42,66,0,0,0
exploit-hunter,42,67,0,0,0
exploit-hunter,42,68,0,0,0
exploit-hunter,42,69,0,0,0
exploit-hunter,42,70,0,0,0
exploit-hunter,42,71,0,0,0
exploit-hunter,42,72,0,0,0
exploit-hunter,42,73,0,0,0
exploit-hunter,42,74,0,0,0
exploit-hunter,42,75,0,0,0
exploit-hunter,42,76,0,0,0
exploit-hunter,42,77,0,0,0
exploit-hunter,42,78,0,0,0
exploit-hunter,42,79,0,0,0
exploit-hunter,42,80,0,0,0
exploit-hunter,42,81,0,0,0
exploit-hunter,42,82,0,0,0
exploit-hunter,42,83,0,0,0
exploit-hunter,42,84,0,0,0
exploit-hunter,42,85,0,0,0
exploit-hunter,42,86,0,0,0
exploit-hunter,42,87,0,0,0
exploit-hunter,42,88,0,0,0
exploit-hunter,42,89,0,0,0
exploit-hunter,42,90,0,0,0
exploit-hunter,42,91,0,0,0
exploit-hunter,42,92,0,0,0
exploit-hunter,42,93,0,0,0
exploit-hunter,42,94,0,0,0
exploit-hunter,42,95,0,0,0
exploit-hunter,42,96,0,0,0
exploit-hunter,42,97,0,0,0
exploit-hunter,42,98,0,0,0
exploit-hunter,42,99,0,0,0
